title,genre,score,ranked,aired,episodes
Kawasaki Frontale x Tentai Senshi Sunred,"Comedy, Parody, Seinen, Sports, Super Power",5.88,8729.0,"Feb 6, 2009 to Feb 27, 2009",4.0
Animegatari,Comedy,5.88,8714.0,"Apr 17, 2015 to Mar 5, 2016",8.0
Toji no Miko: Kizamishi Issen no Tomoshibi,"Action, Comedy",5.89,8710.0,"Jan 30, 2018 to Feb 13, 2018",2.0
Robot Girls Z: Fukkatsu no Chika Teikoku!? Robot Girls Z vs. Nazo no Sandai Shuyaku Robo!,"Comedy, Parody, Mecha",5.89,8704.0,"Jan 10, 2018",1.0
Kaichuu!,"Comedy, Seinen, Sports",5.89,8691.0,"Jul 16, 2010 to Oct, 2011",4.0
Baka to Test to Shoukanjuu: Matsuri - Sentakushi Ikou nomi,"Comedy, School",7.13,3248.0,"Feb 23, 2011 to Mar 30, 2011",6.0
Virtua Fighter,"Action, Adventure, Martial Arts, Comedy, Shounen",7.14,3243.0,"Oct 9, 1995 to Jun 27, 1996",35.0
Urusei Yatsura Movie 1: Only You,"Action, Adventure, Comedy, Romance, Drama, Sci-Fi",7.14,3242.0,"Feb 13, 1983",1.0
Sekirei: Hajimete no Otsukai,Comedy,7.14,3237.0,"Mar 25, 2009",1.0
Seihou Bukyou Outlaw Star Specials,"Action, Adventure, Comedy, Ecchi, Sci-Fi",7.14,3235.0,"Dec 18, 1998 to Apr 25, 1999",2.0
Digimon Adventure 3D: Digimon Grand Prix!,"Action, Adventure, Comedy, Fantasy, Kids, Parody, Sports",5.89,8684.0,"Jul 20, 2000",1.0
Cosplay Complex,"Comedy, Ecchi, Parody, School",5.89,8683.0,"May 25, 2002 to Oct 26, 2002",3.0
Akuma Tou no Prince: Mitsume ga Tooru,"Adventure, Comedy, Demons, Supernatural",5.89,8679.0,"Aug 25, 1985",1.0
Tactical Roar Special,"Action, Comedy, Ecchi, Military, Romance, Sci-Fi",5.9,8674.0,"Sep 26, 2006",1.0
Taboo Tattoo,"Action, Mystery, Comedy, Super Power, Supernatural, Martial Arts, Seinen",5.9,8673.0,"Jul 5, 2016 to Sep 20, 2016",12.0
Onsen Yousei Hakone-chan,"Slice of Life, Comedy",5.9,8663.0,"Oct 4, 2015 to Dec 27, 2015",13.0
Mahou Shoujo Lyrical Nanoha A's Picture Drama,"Comedy, Magic, Parody",5.9,8659.0,"Nov 5, 2014",1.0
Last Exile: Doyou no Asa,"Comedy, Parody, Sci-Fi",5.9,8658.0,"Dec 17, 2011 to Jan 14, 2012",3.0
Game Tengoku: The Game Paradise!,"Action, Adventure, Comedy, Mecha",5.9,8652.0,"Jun 6, 1997",1.0
Fushigi na Somera-chan,"Comedy, Magic, Slice of Life",5.9,8651.0,"Oct 7, 2015 to Dec 23, 2015",12.0
Yoshino no Hime,"Comedy, Fantasy, Historical, Slice of Life",5.91,8641.0,2005,1.0
Osomatsu-san: Haru no Zenkoku Dai Senbatsu Jouei-sai - Sentou Quiz 2,"Comedy, Parody",5.91,8630.0,"Apr 6, 2017",1.0
Re: Cutey Honey,"Action, Sci-Fi, Comedy, Ecchi, Shoujo Ai",7.14,3233.0,"Jul 24, 2004 to Sep 25, 2004",3.0
Larva,Comedy,5.91,8628.0,"Mar 26, 2011 to Sep 24, 2011",26.0
Ranma ½: Totteoki Talk Best of Memories,"Comedy, Martial Arts, Slice of Life",7.14,3232.0,"May 1, 1993",1.0
Nobunaga no Shinobi: Ise Kanegasaki-hen,"Comedy, Historical",7.14,3231.0,"Apr 8, 2017 to Sep 30, 2017",26.0
Kawasaki Frontale x Tentai Senshi Sunred 2nd Season,"Comedy, Parody, Seinen, Sports, Super Power",5.91,8625.0,"Mar 5, 2010",1.0
Koi Koi 7 Specials,"Comedy, Ecchi",5.91,8627.0,"Jul 22, 2005 to Jan 27, 2006",7.0
Kobutori (1929),"Comedy, Demons",5.91,8626.0,"Oct 14, 1929",1.0
Makai Ouji: Devils and Realist,"Mystery, Comedy, Historical, Demons, Supernatural, Fantasy, School, Josei",7.14,3230.0,"Jul 8, 2013 to Sep 23, 2013",12.0
Jarinko Chie,"Slice of Life, Comedy, Drama, Seinen",7.14,3227.0,"Apr 11, 1981",1.0
Kare Baka: Wagahai no Kare wa Baka de R,"Comedy, Romance, School",5.91,8623.0,"Oct 16, 2015 to Jan 22, 2016",8.0
Hoshi Neko Fullhouse,"Sci-Fi, Comedy, Romance",5.91,8621.0,"Jun 16, 1989 to Dec 25, 1989",4.0
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,"Comedy, Mecha, Police, Sci-Fi",5.91,8610.0,"Jan 7, 2016 to Mar 24, 2016",12.0
Backkom,"Comedy, Kids",5.91,8612.0,2005,52.0
Soul Link Special,"Ecchi, Adventure, Space, Comedy, Romance, Military, Sci-Fi",5.92,8606.0,"Jun 11, 2006",1.0
Shounen Ashibe 2,"Comedy, Slice of Life",5.92,8604.0,"Oct 3, 1992 to Mar 27, 1993",25.0
Nanairo Kakumei,"Comedy, School, Shoujo",5.92,8595.0,"Oct 6, 2015 to Oct 20, 2015",3.0
Minna Agechau♡,"Comedy, Ecchi, Romance",5.92,8592.0,"Mar 27, 1987",1.0
Fate/kaleid liner Prisma☆Illya 2wei!: Mahou Shoujo in Onsen Ryokou,"Comedy, Magic, Ecchi, Fantasy",7.14,3220.0,"Jul 25, 2015",1.0
Eromanga-sensei OVA,"Comedy, Drama, Ecchi, Romance",7.14,3218.0,"Jan 16, 2019",2.0
Duel Masters Victory V3,"Action, Adventure, Comedy, Shounen",5.92,8586.0,"Apr 6, 2013 to Mar 29, 2014",51.0
Chicchana Yukitsukai Sugar,"Comedy, Fantasy, Slice of Life",7.14,3212.0,"Oct 2, 2001 to Mar 26, 2002",24.0
Cyclops Shoujo Saipuu,"Ecchi, Comedy, School, Slice of Life",5.92,8584.0,"Mar 12, 2013 to May 30, 2013",12.0
YAT Anshin! Uchuu Ryokou,"Adventure, Comedy, Sci-Fi, Shounen",7.15,3210.0,"Oct 5, 1996 to Sep 27, 1997",50.0
Tu Bian Ying Xiong Leaf,"Comedy, Super Power",7.15,3208.0,"Apr 14, 2018 to Jul 6, 2018",12.0
Taiho Shichau zo: Nagisa no Koutsuu Yuudou,"Action, Police, Comedy, Seinen",7.15,3204.0,1997,1.0
"Shounen Maid: Onna wa Dokyou, Otoko wa Aikyou?","Slice of Life, Comedy, Shoujo",7.15,3203.0,"Aug 24, 2016",1.0
Yuukan Club,"Mystery, Comedy, School, Shoujo",5.93,8578.0,"Jul 25, 1991 to Dec 14, 1991",2.0
Urikupen Kyuujo-tai,"Adventure, Comedy, Kids",5.93,8576.0,"Sep 30, 1974 to Mar 29, 1975",156.0
Selector Infected WIXOSS: Midoriko-san to Piruruku-tan,Comedy,5.93,8570.0,"Aug 27, 2014 to Dec 19, 2014",3.0
Peeping Life: World History,"Slice of Life, Comedy, Historical",5.93,8569.0,"Dec 20, 2012 to Dec 12, 2013",40.0
Medamayaki no Kimi Itsu Tsubusu?,"Comedy, Seinen",5.93,8566.0,"Aug 5, 2014 to Aug 8, 2014",4.0
Kobutori,"Comedy, Demons",5.93,8564.0,"Mar 19, 1918",1.0
Je Bul Chal-ssi Iyagi,"Comedy, Horror, Fantasy",5.93,8558.0,"Mar 12, 2009",1.0
Backkom 2,"Comedy, Kids",5.93,8548.0,2007,52.0
Anisama,"Adventure, Comedy, Fantasy",5.93,8546.0,"Aug 30, 2017",1.0
The SoulTaker: Tamashii-gari - Komugi Daisakusen,Comedy,5.94,8543.0,2001,3.0
Perman (1983) Specials,"Comedy, Kids",5.94,8540.0,"Jul 20, 1983 to Oct 1, 1984",3.0
Mori no Andou,Comedy,5.94,8537.0,"Jan, 2006",1.0
Naked Wolves,"Action, Kids, Sports, Comedy",5.94,8538.0,"Apr 6, 2009 to Mar 28, 2010",52.0
Kemono Friends 2,"Adventure, Comedy",5.94,8529.0,"Jan 15, 2019 to Apr 2, 2019",12.0
Bobunemimimmi Specials,"Comedy, Parody, Dementia",5.94,8525.0,"Sep 15, 2018",2.0
Ayane-chan High Kick!,"Comedy, Shounen, Sports",5.94,8524.0,"Jan 21, 1997 to Apr 25, 1997",2.0
YanYan Machiko,"Slice of Life, Comedy",5.95,8521.0,"Dec 25, 2009 to Aug 20, 2015",11.0
Zettai Bouei Leviathan: Mini Takibi Gekijou,"Fantasy, Magic, Comedy",5.95,8522.0,"Jul 7, 2013 to Sep 30, 2013",13.0
Val x Love,"Harem, Comedy, Supernatural, Romance, Ecchi, School, Shounen",5.95,8520.0,"Oct 5, 2019 to Dec 21, 2019",12.0
Seto no Hanayome Fan Disc,"Comedy, Parody, School",7.14,3202.0,"Sep, 2008",2.0
Sasameki Koto,"Comedy, Romance, School, Shoujo Ai",7.15,3201.0,"Oct 8, 2009 to Dec 31, 2009",13.0
Sansha Sanyou,"Slice of Life, Comedy, School",7.15,3200.0,"Apr 11, 2016 to Jun 27, 2016",12.0
Popee the Performer,"Comedy, Dementia",7.14,3196.0,"Jan 3, 2000 to Dec 28, 2001",39.0
Onegai My Melody,"Comedy, Magic, Fantasy",7.15,3195.0,"Apr 3, 2005 to Mar 26, 2006",52.0
Ultra B,"Comedy, Super Power",5.95,8519.0,"Apr 5, 1987 to Mar 27, 1989",119.0
NG Knight Ramune & 40,"Adventure, Comedy, Fantasy, Mecha, Shounen",7.15,3194.0,"Apr 6, 1990 to Jan 4, 1991",38.0
Toufu Kozou,Comedy,5.95,8517.0,"Apr 29, 2011",1.0
Negima!? Haru Special!?,"Ecchi, Fantasy, Magic, Comedy, Harem, Romance, Super Power, Shounen",7.15,3193.0,"Oct 25, 2006",1.0
Shounen Ashibe: Go! Go! Goma-chan 4,"Slice of Life, Comedy, Seinen",5.95,8514.0,"Apr 2, 2019 to Dec 17, 2019",24.0
Rio: Rainbow Gate!,"Game, Comedy, Ecchi",5.95,8512.0,"Jan 4, 2011 to Mar 29, 2011",13.0
Mekakucity Actors,"Sci-Fi, Comedy, Super Power, Supernatural, Romance",7.15,3190.0,"Apr 13, 2014 to Jun 29, 2014",12.0
Parappa the Rapper,"Comedy, Fantasy",5.95,8511.0,"Apr 14, 2001 to Jan 11, 2002",30.0
Mahou Shoujo-tai Arusu,"Adventure, Comedy, Fantasy, Magic",7.15,3189.0,"Apr 9, 2004 to Mar 4, 2005",40.0
Lupin III: Moeyo Zantetsuken!,"Action, Adventure, Mystery, Comedy, Seinen",7.15,3186.0,"Jul 29, 1994",1.0
Kantoku Fuyuki Todoki,"Comedy, Josei, Slice of Life",5.95,8506.0,"Apr 4, 2014 to Jul 4, 2014",13.0
Komaneko no Christmas: Maigo ni Natta Present,"Comedy, Fantasy",5.95,8507.0,"Nov 7, 2009",1.0
Kamisama Dolls Specials,Comedy,5.95,8505.0,"Sep 21, 2011 to Feb 22, 2012",6.0
Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,"Comedy, Drama, Harem, Romance, School",5.95,8504.0,"Oct 2, 2004 to Dec 25, 2004",13.0
Ishida to Asakura,"Comedy, School, Seinen",5.95,8503.0,"Jan 6, 2013 to Mar 24, 2013",12.0
Heybot!,"Sci-Fi, Comedy, Parody, Kids",5.95,8502.0,"Sep 18, 2016 to Sep 24, 2017",50.0
gdMen,"Comedy, Fantasy",5.95,8496.0,"Jan 9, 2018 to Mar 27, 2018",12.0
Fate/Zero Cafe,"Comedy, Parody",5.95,8495.0,"Jul 13, 2013 to Mar 19, 2016",2.0
Oscar's Oasis,Comedy,5.96,8483.0,"Feb 28, 2011 to Jun 15, 2011",78.0
Miracle Shoujo Limit-chan,"Comedy, Magic, School, Sci-Fi, Shoujo, Super Power",5.96,8482.0,"Oct 1, 1973 to Mar 25, 1974",25.0
Hoozuki no Reitetsu 2nd Season OVA,"Comedy, Demons, Fantasy, Seinen, Supernatural",7.13,3183.0,"Sep 20, 2019 to 2020",3.0
Hiatari Ryoukou!,"Comedy, Romance, School, Shoujo, Sports",7.15,3182.0,"Mar 29, 1987 to Mar 20, 1988",48.0
Haiyore! Nyaruko-san W OVA,"Comedy, Ecchi, Parody",7.15,3181.0,"Apr 1, 2014",1.0
Mairimashita! Iruma-kun,"Comedy, Demons, Fantasy, School, Shounen, Supernatural",7.71,1103.0,"Oct 5, 2019 to ?",23.0
Gravitation,"Comedy, Music, Romance, Shoujo, Shounen Ai",7.15,3178.0,"Oct 4, 2000 to Jan 10, 2001",13.0
Lupin III,"Action, Adventure, Mystery, Comedy, Seinen",7.72,1102.0,"Oct 24, 1971 to Mar 26, 1972",23.0
Kanadian Families: Episode Zero,"Slice of Life, Comedy",5.96,8480.0,"Jul 10, 2015",1.0
Dual! Parallel Lun-Lun Monogatari,"Action, Sci-Fi, Harem, Comedy, Mecha, Shounen",7.15,3175.0,"Apr 8, 1999 to Jul 1, 1999",13.0
Dragon League,"Adventure, Fantasy, Sports, Comedy, Shounen",7.15,3174.0,"May 7, 1993 to Mar 6, 1994",39.0
Di Gi Charat Nyo,"Comedy, Fantasy, Sci-Fi",7.15,3173.0,"Apr 6, 2003 to Mar 28, 2004",104.0
China KFC x Gintama,Comedy,7.15,3171.0,"May 9, 2018",1.0
Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys,"Action, Adventure, Comedy, Historical, Fantasy, Seinen",7.15,3172.0,"Apr 17, 2004",1.0
Detective Conan Movie 09: Promo Special,"Adventure, Police, Comedy, Mystery, Shounen",7.72,1091.0,2005,1.0
Hibike! Euphonium Movie: Photo Session e Youkoso,Comedy,5.96,8474.0,"Sep 30, 2017",3.0
Chocotan!,"Comedy, Shoujo",5.96,8466.0,"Mar 17, 2013",1.0
Animation!,"Adventure, Fantasy, Comedy, Dementia, Music, Mystery",5.96,8460.0,2006 to 2009,13.0
Ba La La Xiao Mo Xian Zhi: Qiji Wubu,"Comedy, Magic, Shoujo",5.96,8462.0,"Apr 19, 2013 to Apr, 2014",52.0
Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,"Comedy, Romance",5.97,8451.0,"Oct 19, 2002",1.0
Guardian Hearts-Power UP!,"Action, Comedy, Ecchi, Fantasy, Harem, Magic, Romance",5.97,8443.0,"Jan 28, 2005 to Mar 25, 2005",4.0
Dr. Slump: Arale-chan - Penguin Mura no Shouboutai,"Sci-Fi, Comedy, Shounen",5.97,8440.0,1984,1.0
Chu Feng: B.E.E,"Action, Sci-Fi, Comedy, Romance, Fantasy, Mecha, School",5.97,8439.0,"Jul 23, 2015 to Dec 17, 2015",6.0
Arisa☆Good Luck,"Action, Comedy",5.97,8437.0,1999,1.0
Ad Lib Anime Kenkyuujo,Comedy,5.97,8435.0,"Oct 16, 2011 to Mar 31, 2013",38.0
The Samurai,"Comedy, Romance, School, Shounen",5.98,8432.0,"Nov 1, 1987",1.0
Shounen Ashibe (TV),"Comedy, Slice of Life",5.98,8431.0,"Apr 11, 1991 to Dec 28, 1991",37.0
Nyamen,Comedy,5.98,8426.0,"Jan 12, 2014 to Mar 30, 2014",12.0
Nurse Witch Komugi-chan R,"Comedy, Magic, Parody",5.98,8425.0,"Jan 10, 2016 to Mar 27, 2016",12.0
Melty Lancer,"Adventure, Comedy, Sci-Fi, Space",5.98,8424.0,"May 25, 1999 to May 25, 2000",6.0
Koisuru Tenshi Angelique: Chibi Character Adventure 2,"Adventure, Comedy",5.98,8423.0,"Apr 25, 2007",1.0
Dibetagurashi: Ahiru no Seikatsu,"Comedy, Slice of Life",5.98,8410.0,"Apr 7, 2013 to Mar 30, 2014",39.0
Chinpui Specials,Comedy,5.98,8407.0,"Dec 29, 1989",2.0
Boku wa Tomodachi ga Sukunai: Relay Shousetsu wa Ketsumatsu ga Hanpanai,"Harem, Slice of Life, Comedy, Romance, School",7.15,3164.0,"Sep 26, 2012",1.0
Uta no☆Prince-sama♪ Maji Love Revolutions,"Comedy, Harem, Music, Romance, School, Shoujo",7.16,3158.0,"Apr 5, 2015 to Jun 28, 2015",13.0
AIKa Zero,"Action, Ecchi, Adventure, Comedy",5.98,8401.0,"Jul 6, 2009 to Dec 22, 2009",3.0
Mangirl!: Asobu Henshuu Girl,"Comedy, Slice of Life",5.99,8388.0,"May 24, 2013",1.0
Koukaku no Pandora: Pandoradio,"Sci-Fi, Comedy",5.99,8386.0,"May 27, 2016 to Oct 28, 2016",6.0
Divergence Eve,"Adventure, Comedy, Drama, Mecha, Military, Sci-Fi, Space",5.99,8381.0,"Jul 2, 2003 to Sep 24, 2003",13.0
Usavich III,Comedy,7.16,3157.0,"Oct 13, 2008 to May 25, 2009",13.0
Usavich II,"Adventure, Comedy",7.16,3156.0,"Oct 8, 2007 to Jan 15, 2008",13.0
Tetsuwan Birdy,"Action, Comedy, Sci-Fi, Shounen",7.16,3152.0,"Jul 25, 1996 to Feb 25, 1997",4.0
Pokemon Movie 03: Kesshoutou no Teiou Entei,"Action, Adventure, Comedy, Kids, Drama, Fantasy",7.16,3144.0,"Jul 8, 2000",1.0
Nisekoi: OVA,"Harem, Comedy, Parody, Magic, Romance, Shounen",7.16,3143.0,"Jan 4, 2016",2.0
Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,"Adventure, Comedy, Historical, Supernatural, Drama, Shounen",7.16,3142.0,"Aug 21, 2004",1.0
Lupin III: Nusumareta Lupin,"Action, Adventure, Mystery, Comedy, Seinen",7.16,3138.0,"Jul 30, 2004",1.0
Kuroko no Basket: Oshaberi Shiyou ka,"Comedy, Sports, School, Shounen",7.16,3137.0,"Jan 27, 2017",1.0
Kodomo no Jikan OVA,"Comedy, Ecchi, School",7.16,3135.0,"Sep 11, 2007 to Jan 21, 2011",3.0
Tonari no Kyuuketsuki-san,"Comedy, Shoujo Ai, Slice of Life, Supernatural, Vampire",7.17,3109.0,"Oct 5, 2018 to Dec 21, 2018",12.0
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,"Slice of Life, Comedy, School",7.17,3112.0,"Jul 9, 2013 to Sep 24, 2013",12.0
Tales of Symphonia The Animation: Tethe'alla-hen Specials,Comedy,7.17,3108.0,"Mar 25, 2010 to Feb 25, 2011",4.0
Tsurupika Hagemaru-kun,"Kids, Comedy",7.17,3110.0,"Mar 3, 1988 to Aug 30, 1989",59.0
AIKa,"Action, Ecchi, Adventure, Comedy, Sci-Fi",5.99,8375.0,"Apr 25, 1997 to Apr 25, 1999",7.0
Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary OVA,"Comedy, Drama, Harem, Romance, Sci-Fi",6.0,8372.0,"Dec 12, 2004",4.0
Sprite: Between Two Worlds,"Comedy, Ecchi, Romance, School",6.0,8370.0,"Apr 21, 1997 to Aug 8, 1997",2.0
Sore Ike! Anpanman: Anpanman to Yukai na Nakama-tachi,"Comedy, Fantasy, Kids",6.0,8369.0,"Mar 14, 1992",1.0
Samurai Girl Real Bout High School,"Adventure, Comedy, Fantasy, Shounen",6.0,8367.0,"Jul 30, 2001 to Oct 22, 2001",13.0
Rang Wo Men Shao Ba,"Comedy, Psychological, Magic, School",6.0,8365.0,"Feb 13, 2018 to Mar 22, 2018",2.0
Osomatsu-san VR,"Comedy, Parody, Supernatural",6.0,8363.0,"Jul 2, 2018",1.0
Hello Kitty: Ringo no Mori no Fantasy,"Comedy, Fantasy, Kids",6.0,8353.0,"Apr 4, 2006 to Sep 19, 2006",13.0
Choboraunyopomi Gekijou Dai Ni Maku Ai Mai Mii: Mousou Catastrophe,"Comedy, Slice of Life",6.0,8344.0,"Jul 8, 2014 to Sep 23, 2014",12.0
Mameshiba,Comedy,7.16,3140.0,"Mar, 2008 to 2013",24.0
Backkom Mission Impossible,"Comedy, Kids, Parody",6.0,8339.0,2008,2.0
World Fool News (TV),"Slice of Life, Comedy",6.01,8335.0,"Apr 17, 2014 to Jul 3, 2014",12.0
Ukkari Pénélope (2009),"Comedy, Slice of Life",6.01,8334.0,"Jun 29, 2009 to Jan 2, 2010",26.0
Space Gundam V,"Action, Comedy, Mecha",6.01,8331.0,"Jul 21, 1983",1.0
Seihou Tenshi Angel Links,"Action, Adventure, Space, Comedy, Romance, Drama, Sci-Fi",6.01,8330.0,"Apr 7, 1999 to Jun 30, 1999",13.0
Mujaki no Rakuen,"Comedy, Ecchi, Romance, School, Seinen",6.01,8325.0,"Aug 29, 2014 to Aug 29, 2016",3.0
Ninkuu: Knife no Bohyou,"Action, Adventure, Comedy, Martial Arts, Shounen",6.01,8326.0,"Oct, 1994",1.0
Okama Hakusho,"Comedy, Seinen",6.01,8327.0,"Apr 12, 1991 to Feb 6, 1992",3.0
Mahoutsukai Tai! vs. Shamanic Princess,"Comedy, Magic, Fantasy",6.01,8323.0,1998,1.0
Gatapishi,"Comedy, Slice of Life",6.01,8316.0,"Apr 23, 1990 to Mar 29, 1991",199.0
Dr. Slump Movie 11: Dr. Mashirito & Abale-chan,"Comedy, Sci-Fi, Shounen",6.01,8313.0,"Mar 3, 2007",1.0
Bloody Bunny,Comedy,6.01,8310.0,"Jul 18, 2012 to ?",26.0
Duel Masters Victory V,"Action, Adventure, Comedy, Shounen",6.01,8315.0,"Apr 7, 2012 to Mar 30, 2013",51.0
Bernard-jou Iwaku.,"Comedy, School",6.01,8308.0,"Oct 7, 2016 to Dec 23, 2016",12.0
Yobarete Tobidete Akubi-chan,"Comedy, Fantasy, Kids",5.99,8306.0,"Dec 11, 2001 to Mar 26, 2002",26.0
Ultra Nyan 2: The Great Happy Operation,"Comedy, Kids",6.02,8303.0,"Mar 14, 1998",1.0
Teekyuu 6 Specials,"Comedy, Sports, Shounen",6.02,8301.0,"Feb 26, 2016",2.0
Hulaing Babies,"Slice of Life, Comedy",6.01,8319.0,"Jan 11, 2019 to Mar 29, 2019",12.0
Xi Yang Yang Yu Hui Tai Lang: Zhi Tu Nian Ding Gua Gua,"Adventure, Comedy, Kids",6.02,8305.0,"Jan 21, 2011",1.0
Backkom Sports,"Comedy, Kids, Sports",5.98,8403.0,2009,52.0
Gregory Horror Show: The Bloody Karte,"Mystery, Comedy, Horror, Demons, Supernatural, Vampire",5.98,8415.0,"Apr 7, 2001 to Jun 30, 2001",12.0
Himitsukessha Taka no Tsume Countdown,"Comedy, Parody, Super Power",5.98,8419.0,"Oct 7, 2009 to Dec 23, 2009",11.0
Kamen Rider Fourze x Crayon Shin-chan,"Action, Comedy, Seinen",5.98,8421.0,"Apr 13, 2012 to Apr 29, 2012",4.0
Majuu Senshi Luna Varga,"Adventure, Comedy, Ecchi, Fantasy, Magic",5.94,8534.0,"Mar 20, 1991 to Sep 20, 1991",4.0
Mighty Orbots,"Sci-Fi, Adventure, Comedy, Mecha",5.94,8535.0,"Sep 8, 1984 to Dec 15, 1984",13.0
Barakamon: Mijikamon Episode 0,Comedy,5.93,8549.0,"Mar 7, 2014",1.0
Shin Obake no Q-tarou,"Slice of Life, Comedy, Supernatural, School",5.87,8759.0,"Sep 1, 1971 to Dec 27, 1972",70.0
Washimo,"Sci-Fi, Slice of Life, Comedy, Kids, School",5.87,8762.0,"Mar 10, 2014 to Mar 21, 2014",10.0
Yonhyaku-nijuu Renpai Girl,"Comedy, Romance, School",5.87,8763.0,"Jan 25, 2013",1.0
Shakugan no Shana III (Final) Specials,"Comedy, Parody",7.16,3148.0,"Jan 27, 2012 to May 30, 2012",2.0
Shakugan no Shana Specials,"Comedy, Parody",7.16,3149.0,"Jan 25, 2006 to Apr 4, 2007",4.0
Donyatsu Specials,"Comedy, Sci-Fi, Seinen",5.86,8774.0,"Dec 20, 2013",2.0
Yami no Matsuei,"Comedy, Drama, Fantasy, Horror, Magic, Shoujo, Shounen Ai, Vampire",7.16,3162.0,"Oct 2, 2000 to Dec 18, 2000",13.0
Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori,"Action, Adventure, Mystery, Comedy, Seinen",7.15,3187.0,"Jul 22, 2005",1.0
Tonkatsu DJ Agetarou,"Music, Comedy, Shounen",7.15,3207.0,"Apr 10, 2016 to Jun 26, 2016",12.0
Chuukan Kanriroku Tonegawa,"Comedy, Parody, Psychological, Drama, Seinen",7.14,3213.0,"Jul 4, 2018 to Dec 26, 2018",24.0
Detective Conan: Happy New Year Special,"Action, Police, Comedy, Mystery, Shounen",7.14,3216.0,"Jan 3, 2015",1.0
One Piece: Mezase! Kaizoku Yakyuu Ou,"Comedy, Fantasy, Shounen, Sports",7.12,3316.0,"Mar 6, 2004",1.0
Pokemon: Mewtwo! Ware wa Koko ni Ari,"Action, Adventure, Comedy, Drama, Fantasy, Kids",7.12,3317.0,"Dec 30, 2000",1.0
Youkai Watch Movie 1: Tanjou no Himitsu da Nyan!,"Comedy, Kids, Supernatural",7.12,3327.0,"Dec 20, 2014",1.0
Anyamal Tantei Kiruminzoo,"Magic, Comedy, Shoujo",7.11,3328.0,"Oct 5, 2009 to Sep 20, 2010",50.0
Futsuu no Joshikousei ga [Locodol] Yattemita. OVA,"Slice of Life, Comedy, Seinen",7.11,3338.0,"Mar 23, 2015 to Jun 22, 2016",2.0
Gamers!,"Comedy, Romance, School",7.11,3339.0,"Jul 13, 2017 to Sep 28, 2017",12.0
Kannagi: Moshimo Kannagi ga Attara...,"Comedy, School, Shounen, Supernatural",7.11,3345.0,"May 27, 2009",1.0
Hashire!,Comedy,5.85,8810.0,"May, 2003",1.0
Hot Minute: Gudetama,"Comedy, Kids",5.85,8812.0,"Nov 2, 2015",1.0
Inazuma Eleven x Kaitou Gru no Tsuki Dorobou,Comedy,5.85,8813.0,"Feb, 2011 to Mar, 2011",4.0
Aquarion Logos,"Action, Comedy, Drama, Fantasy, Mecha, Romance, Sci-Fi",5.8,8972.0,"Jul 3, 2015 to Dec 25, 2015",26.0
Macross Δ Movie: Gekijou no Walküre Specials,Comedy,5.77,9079.0,"Aug 28, 2018",2.0
Rakushou! Hyper Doll,"Magic, Adventure, Comedy, Sci-Fi, Shounen",5.77,9089.0,"Sep 25, 1995 to Nov 25, 1995",2.0
Wellber no Monogatari: Kanashimi no Senshi Galahad no Banka,"Action, Adventure, Comedy, Fantasy",5.77,9103.0,"Nov 11, 2007",1.0
Pugyuru,"Comedy, Fantasy, School",5.76,9124.0,"Apr 12, 2004 to Jul 5, 2004",13.0
21 Emon Uchuu e Irasshai!,"Space, Comedy, Sci-Fi",5.75,9127.0,"Aug 1, 1981",1.0
Oda Nobuna no Yabou Recap,"Comedy, Historical, Romance",7.09,3432.0,"Oct 1, 2012",1.0
One Piece Movie 3: Chinjuu-jima no Chopper Oukoku,"Action, Adventure, Comedy, Super Power, Fantasy, Shounen",7.08,3473.0,"Mar 2, 2002",1.0
Paulette no Isu,"Slice of Life, Comedy, Kids",7.08,3476.0,"Mar 21, 2014",1.0
Pocket Monsters: Diamond & Pearl Tokubetsu-hen,"Action, Comedy, Kids, Fantasy",7.08,3477.0,"Feb 3, 2011",2.0
Usagi-chan de Cue!!,"Action, Comedy, Ecchi, Magic, Romance",5.72,9261.0,"Nov 9, 2001 to Apr 26, 2002",3.0
Haikara-san ga Tooru Movie 2: Hana no Tokyo Dai Roman,"Comedy, Historical, Romance, Shoujo",7.06,3549.0,"Oct 19, 2018",1.0
Kishin Douji Zenki,"Action, Comedy, Drama, Ecchi, Fantasy, Horror, Magic, Shounen",7.05,3600.0,"Jan 9, 1995 to Dec 25, 1995",51.0
Ichiban Ushiro no Daimaou,"Action, Harem, Comedy, Magic, Ecchi, Fantasy, School",7.05,3598.0,"Apr 3, 2010 to Jun 19, 2010",12.0
Hitsugi no Chaika OVA,"Action, Adventure, Comedy, Fantasy",7.05,3597.0,"Mar 10, 2015",1.0
Gravitation: Lyrics of Love,"Comedy, Romance, Shoujo, Shounen Ai",7.05,3593.0,"Jul 23, 1999 to Sep 22, 1999",2.0
