outcome,month,MMWR week,Age group,Vaccinated with outcome,Unvaccinated with outcome,Crude vax IR,Crude unvax IR
death,FEB 2022,202206,30-49,57,131,0.144854553,0.987959481
death,FEB 2022,202206,50-64,220,552,0.680776039,8.440417821
death,FEB 2022,202206,65-79,743,1182,3.111323355,53.97813365
death,FEB 2022,202206,80+,841,1054,12.24475652,97.11421964
death,FEB 2022,202207,5-11,0,0,0.0,0.0
death,FEB 2022,202207,12-17,0,1,0.0,0.0154838
death,FEB 2022,202207,18-29,2,14,0.0094409,0.114648045
death,FEB 2022,202207,30-49,40,94,0.101313615,0.714182001
death,FEB 2022,202207,50-64,157,380,0.48491445,5.838909466
death,FEB 2022,202207,65-79,493,731,2.062680665,33.5483518
death,FEB 2022,202207,80+,542,629,7.885595432,58.1597506
death,FEB 2022,202208,5-11,0,0,0.0,0.0
death,FEB 2022,202208,12-17,0,1,0.0,0.015586
death,FEB 2022,202208,18-29,2,10,0.0093952,0.082388818
death,FEB 2022,202208,30-49,13,70,0.0328238,0.535265921
death,FEB 2022,202208,50-64,101,242,0.311413656,3.734513958
death,FEB 2022,202208,65-79,318,497,1.32944057,22.9092181
death,FEB 2022,202208,80+,373,446,5.42316459,41.35864254
death,MAR 2022,202209,5-11,0,0,0.0,0.0
death,MAR 2022,202209,12-17,0,0,0.0,0.0
death,MAR 2022,202209,18-29,0,5,0.0,0.041422
death,MAR 2022,202209,30-49,15,51,0.0377736,0.392113266
death,MAR 2022,202209,50-64,79,168,0.243239325,2.602338269
death,MAR 2022,202209,65-79,226,343,0.944189711,15.87079489
death,MAR 2022,202209,80+,294,290,4.271980429,26.967263
death,MAR 2022,202210,5-11,0,1,0.0,0.00747462
death,MAR 2022,202210,12-17,0,1,0.0,0.0157402
death,MAR 2022,202210,18-29,0,9,0.0,0.074895823
death,MAR 2022,202210,30-49,11,38,0.0276413,0.293445011
death,MAR 2022,202210,50-64,52,105,0.159924024,1.631363545
death,MAR 2022,202210,65-79,157,207,0.655554976,9.605459688
death,MAR 2022,202210,80+,183,209,2.657789939,19.4746331
death,MAR 2022,202211,5-11,0,1,0.0,0.00750259
death,MAR 2022,202211,12-17,0,0,0.0,0.0
death,MAR 2022,202211,18-29,1,7,0.00464803,0.0584963
death,MAR 2022,202211,30-49,8,32,0.0200656,0.248122367
death,MAR 2022,202211,50-64,32,78,0.098321042,1.215304687
death,MAR 2022,202211,65-79,125,152,0.521688082,7.074693897
death,MAR 2022,202211,80+,145,123,2.10498779,11.48577405
death,MAR 2022,202212,5-11,0,1,0.0,0.00753163
death,MAR 2022,202212,12-17,0,0,0.0,0.0
death,MAR 2022,202212,18-29,1,2,0.00463688,0.0167771
death,MAR 2022,202212,30-49,7,21,0.0175311,0.163438964
death,MAR 2022,202212,50-64,29,59,0.089035931,0.921789648
death,MAR 2022,202212,65-79,76,122,0.317062973,5.69363967
death,MAR 2022,202212,80+,115,99,1.668905661,9.263366348
death,MAR 2022,202213,5-11,0,0,0.0,0.0
death,MAR 2022,202213,12-17,0,1,0.0,0.0159263
death,MAR 2022,202213,18-29,2,4,0.0092537,0.0336651
death,MAR 2022,202213,30-49,7,12,0.0175082,0.093687491
death,MAR 2022,202213,50-64,26,42,0.079772726,0.658061149
death,MAR 2022,202213,65-79,74,75,0.308610148,3.519724076
death,MAR 2022,202213,80+,116,83,1.682877174,7.796172727
death,APR 2022,202214,5-11,0,1,0.0,0.00757232
death,APR 2022,202214,12-17,0,0,0.0,0.0
death,APR 2022,202214,18-29,2,2,0.0092371,0.0168866
death,APR 2022,202214,30-49,5,13,0.0124923,0.101800305
death,APR 2022,202214,50-64,23,44,0.070527969,0.691831993
death,APR 2022,202214,65-79,86,71,0.358532189,3.361796783
death,APR 2022,202214,80+,117,77,1.696808463,7.287636728
death,APR 2022,202215,5-11,0,1,0.0,0.00758501
death,APR 2022,202215,12-17,0,1,0.0,0.0160009
death,APR 2022,202215,18-29,1,6,0.0046113,0.0508284
death,APR 2022,202215,30-49,8,15,0.0199687,0.117832418
death,APR 2022,202215,50-64,35,44,0.107251093,0.69447485
death,APR 2022,202215,65-79,90,67,0.374922505,3.20152863
death,APR 2022,202215,80+,121,80,1.75352001,7.633391489
death,APR 2022,202216,5-11,0,1,0.0,0.00760106
death,APR 2022,202216,12-17,0,0,0.0,0.0
death,APR 2022,202216,18-29,0,2,0.0,0.0169881
death,APR 2022,202216,30-49,10,12,0.0249403,0.094508927
death,APR 2022,202216,50-64,36,29,0.110187586,0.459238425
death,APR 2022,202216,65-79,102,58,0.423854521,2.794046542
death,APR 2022,202216,80+,199,88,2.876617121,8.462344418
death,APR 2022,202217,5-11,0,1,0.0,0.00761536
death,APR 2022,202217,12-17,0,1,0.0,0.0160834
death,APR 2022,202217,18-29,2,1,0.0091982,0.0085169
death,APR 2022,202217,30-49,14,22,0.0348897,0.173707447
death,APR 2022,202217,50-64,40,25,0.122289237,0.397186357
death,APR 2022,202217,65-79,136,87,0.563765119,4.222615718
death,APR 2022,202217,80+,234,126,3.373071673,12.20865226
death,MAY 2022,202218,5-11,0,0,0.0,0.0
death,MAY 2022,202218,12-17,0,4,0.0,0.064471114
death,MAY 2022,202218,18-29,1,3,0.00459378,0.0256172
death,MAY 2022,202218,30-49,10,16,0.0249043,0.126645719
death,MAY 2022,202218,50-64,39,40,0.119111225,0.637457453
death,MAY 2022,202218,65-79,158,93,0.653708602,4.544247854
death,MAY 2022,202218,80+,297,149,4.270814505,14.5361039
death,MAY 2022,202219,5-11,0,3,0.0,0.0229298
death,MAY 2022,202219,12-17,0,1,0.0,0.0161598
death,MAY 2022,202219,18-29,3,6,0.0137654,0.0513707
death,MAY 2022,202219,30-49,17,26,0.0423091,0.206287741
death,MAY 2022,202219,50-64,59,46,0.180021314,0.735324725
death,MAY 2022,202219,65-79,206,109,0.850926354,5.360919477
death,MAY 2022,202219,80+,346,190,4.964443964,18.65686389
death,MAY 2022,202220,5-11,0,1,0.0,0.00765853
death,MAY 2022,202220,12-17,0,1,0.0,0.0162018
death,MAY 2022,202220,18-29,1,5,0.00458325,0.0429286
death,MAY 2022,202220,30-49,19,23,0.0472555,0.182963427
death,MAY 2022,202220,50-64,61,58,0.185950915,0.930210836
death,MAY 2022,202220,65-79,191,131,0.787820849,6.485857143
death,MAY 2022,202220,80+,408,195,5.84259951,19.27664251
death,MAY 2022,202221,5-11,1,1,0.0191225,0.00767501
death,MAY 2022,202221,12-17,0,2,0.0,0.0324818
death,MAY 2022,202221,18-29,1,6,0.0045784,0.0516496
death,MAY 2022,202221,30-49,23,22,0.057169,0.175438956
death,MAY 2022,202221,50-64,70,64,0.213195926,1.029870492
death,MAY 2022,202221,65-79,232,149,0.955644244,7.425616873
death,MAY 2022,202221,80+,427,230,6.104380329,22.87715084
death,JUN 2022,202222,5-11,0,0,0.0,0.0
death,JUN 2022,202222,12-17,1,2,0.0102458,0.0325511
death,JUN 2022,202222,18-29,3,4,0.0137207,0.0345095
death,JUN 2022,202222,30-49,20,20,0.0496811,0.159801076
death,JUN 2022,202222,50-64,71,67,0.216037373,1.080926621
death,JUN 2022,202222,65-79,234,171,0.962588443,8.561976921
death,JUN 2022,202222,80+,468,239,6.679296436,23.87130788
death,JUN 2022,202223,5-11,0,1,0.0,0.00770476
death,JUN 2022,202223,12-17,2,1,0.0204629,0.0163144
death,JUN 2022,202223,18-29,2,3,0.0091379,0.0259483
death,JUN 2022,202223,30-49,22,21,0.0546157,0.168175235
death,JUN 2022,202223,50-64,74,76,0.224943744,1.229743097
death,JUN 2022,202223,65-79,282,136,1.158502654,6.846855428
death,JUN 2022,202223,80+,496,265,7.06734726,26.59822859
death,JUN 2022,202224,5-11,0,1,0.0,0.00772097
death,JUN 2022,202224,12-17,0,0,0.0,0.0
death,JUN 2022,202224,18-29,1,7,0.00456484,0.0606894
death,JUN 2022,202224,30-49,27,26,0.066993426,0.208661201
death,JUN 2022,202224,50-64,85,80,0.258193842,1.297802823
death,JUN 2022,202224,65-79,276,180,1.132883009,9.101053088
death,JUN 2022,202224,80+,509,255,7.245106066,25.70049081
death,JUN 2022,202225,5-11,0,3,0.0,0.0232123
death,JUN 2022,202225,12-17,0,0,0.0,0.0
death,JUN 2022,202225,18-29,2,14,0.0091207,0.121652752
death,JUN 2022,202225,30-49,12,36,0.029758,0.289488613
death,JUN 2022,202225,50-64,106,77,0.321743525,1.252186733
death,JUN 2022,202225,65-79,295,195,1.209820649,9.898134993
death,JUN 2022,202225,80+,498,248,7.081014052,25.08160624
death,JUN 2022,202226,5-11,0,1,0.0,0.00775334
death,JUN 2022,202226,12-17,0,1,0.0,0.0164254
death,JUN 2022,202226,18-29,3,6,0.0136679,0.0522547
death,JUN 2022,202226,30-49,24,48,0.0594836,0.38675268
death,JUN 2022,202226,50-64,91,88,0.276031307,1.434329329
death,JUN 2022,202226,65-79,355,229,1.454817534,11.66713649
death,JUN 2022,202226,80+,559,308,7.941528754,31.248624
death,JUL 2022,202227,5-11,0,1,0.0,0.00776757
death,JUL 2022,202227,12-17,0,3,0.0,0.0493658
death,JUL 2022,202227,18-29,1,5,0.004552,0.0436273
death,JUL 2022,202227,30-49,42,27,0.104045061,0.217903161
death,JUL 2022,202227,50-64,112,98,0.339528712,1.600734221
death,JUL 2022,202227,65-79,349,230,1.429329532,11.75641866
death,JUL 2022,202227,80+,569,329,8.077607495,33.46058526
death,JUL 2022,202228,5-11,0,1,0.0,0.00778636
death,JUL 2022,202228,12-17,1,0,0.0101671,0.0
death,JUL 2022,202228,18-29,2,6,0.009096,0.0524796
death,JUL 2022,202228,30-49,33,46,0.081710778,0.372067643
death,JUL 2022,202228,50-64,121,101,0.366617451,1.654665265
death,JUL 2022,202228,65-79,396,223,1.620922372,11.45866728
death,JUL 2022,202228,80+,633,358,8.980304193,36.54417088
death,JUL 2022,202229,5-11,1,0,0.0184605,0.0
death,JUL 2022,202229,12-17,0,3,0.0,0.0495936
death,JUL 2022,202229,18-29,4,7,0.0181778,0.061367
death,JUL 2022,202229,30-49,36,31,0.089101267,0.25127157
death,JUL 2022,202229,50-64,113,117,0.342215626,1.922796721
death,JUL 2022,202229,65-79,379,239,1.550616867,12.34819151
death,JUL 2022,202229,80+,626,362,8.87653925,37.09539378
death,JUL 2022,202230,5-11,0,1,0.0,0.0078284
death,JUL 2022,202230,12-17,0,0,0.0,0.0
death,JUL 2022,202230,18-29,0,5,0.0,0.0439311
death,JUL 2022,202230,30-49,20,34,0.0494765,0.276142664
death,JUL 2022,202230,50-64,93,102,0.28146249,1.680702842
death,JUL 2022,202230,65-79,345,233,1.410521799,12.091948
death,JUL 2022,202230,80+,591,330,8.373946739,33.93492762
death,AUG 2022,202231,5-11,0,0,0.0,0.0
death,AUG 2022,202231,12-17,0,2,0.0,0.0332209
death,AUG 2022,202231,18-29,3,5,0.0136084,0.0440179
death,AUG 2022,202231,30-49,27,36,0.066755476,0.292944855
death,AUG 2022,202231,50-64,84,89,0.254005846,1.469886178
death,AUG 2022,202231,65-79,356,230,1.454175149,11.98037656
death,AUG 2022,202231,80+,532,319,7.531183275,32.8892969
death,AUG 2022,202232,5-11,0,1,0.0,0.0078718
death,AUG 2022,202232,12-17,0,0,0.0,0.0
death,AUG 2022,202232,18-29,2,4,0.0090648,0.0352904
death,AUG 2022,202232,30-49,15,32,0.0370703,0.260874911
death,AUG 2022,202232,50-64,98,91,0.296149372,1.505931733
death,AUG 2022,202232,65-79,287,227,1.171466128,11.86210424
death,AUG 2022,202232,80+,460,300,6.506844422,31.00020936
death,AUG 2022,202233,5-11,0,0,0.0,0.0
death,AUG 2022,202233,12-17,0,1,0.0,0.0166811
death,AUG 2022,202233,18-29,3,5,0.0135862,0.0442038
death,AUG 2022,202233,30-49,22,30,0.0543468,0.244967864
death,AUG 2022,202233,50-64,59,66,0.178204534,1.094125531
death,AUG 2022,202233,65-79,259,199,1.05663207,10.42746256
death,AUG 2022,202233,80+,420,238,5.937741088,24.64300262
death,AUG 2022,202234,5-11,0,0,0.0,0.0
death,AUG 2022,202234,12-17,1,2,0.0101008,0.0334218
death,AUG 2022,202234,18-29,2,3,0.00905,0.0265726
death,AUG 2022,202234,30-49,16,25,0.0395089,0.204459067
death,AUG 2022,202234,50-64,67,57,0.202282135,0.946436257
death,AUG 2022,202234,65-79,200,167,0.815601858,8.771376488
death,AUG 2022,202234,80+,318,192,4.493809777,19.91413275
death,AUG 2022,202235,5-11,0,0,0.0,0.0
death,AUG 2022,202235,12-17,0,0,0.0,0.0
death,AUG 2022,202235,18-29,2,1,0.0090429,0.0088725
death,AUG 2022,202235,30-49,11,18,0.027152,0.147408216
death,AUG 2022,202235,50-64,46,67,0.138829601,1.11380019
death,AUG 2022,202235,65-79,201,140,0.819403523,7.364141711
death,AUG 2022,202235,80+,309,172,4.365044273,17.85908229
